md5,filename,split,engine,n_pages,n_chars,numero_poliza,aseguradora
41177b092c3d515a346f7e47ff0ceb68,CUMP-101012506 ADR OBRAS Y CONSULTORIAS S.A.S_unlocked_1.pdf,train,pymupdf,8,17725,,
086abee395ed49644e9d019d840ba40e,20. POLIZA DE RESPONSABILIDAD CIVIL OK.pdf,train,easyocr,54,374581,802076999,
975f4ed79d98fb819db6e6bd9ab9e8f8,POLIZA.pdf,train,pymupdf,2,5454,C-100104373,Mundial de Seguros
8895fe32b979194af7bf4ed689148c03,8. POLIZA RCE.pdf,train,pymupdf,20,61969,"ICO
18-02-10100336",AXA Colpatria
718bcaaa83655921a2e8a034e73fb495,SERIEDAD OFERTA INTEGRACION SOCIAL_1.pdf,train,easyocr,17,29304,Nii 860037013,Mundial de Seguros
a873e3ab4ee9c0f82ebc1967c8e8e64b,POLIZA DE SERIEDAD VILLA DE LEYVA 2026_2.pdf,train,pymupdf,2,9027,,
730adaa04be107f6e9d38bf42704f696,POL 100380071 FCM.pdf,train,pymupdf,12,19765,,Mundial de Seguros
d798832f1ba8b584f324ad3bbe49c2d4,COSMOS-POLIZA DE RESPONSABILIDAD CIVIL EXTRACONTRACTUAL.pdf,train,easyocr,10,47041,CHU-250006474,Mundial de Seguros
fd7ba009fb3dbb5c165a5cff1105eb7f,POLIZA_UNION TEMPORAL FAMILIAS COLOMBIANAS_signed (2)_1.pdf,train,pymupdf,2,6586,,Bolivar
d1b927849736a7e0896ad2877545ee12,POLIZA DE SERIEDAD_2.pdf,train,pymupdf,18,14783,901460806,Mundial de Seguros
a89dfad78b2f051ab3b2f2813dde09e0,POL 05-00103080-0000 EMI 20260305__1.pdf,train,easyocr,15,34467,URA 05 0103080,
2d5ef4ec14404019548e54116af94bf9,1. PAGO POLIZA SERIEDAD OFERTA PDTA 2026.pdf,train,easyocr,16,28874,Nii 860037013,Mundial de Seguros
162941b3c0dc2f2399823ba697021a7f,SERIEDAD GRUPO 1.pdf,train,easyocr,17,29846,Nii 860037 013,Mundial de Seguros
338029b39cd772a5a0f93bc19b8b1f34,62-44-101022628_signed.pdf,train,pymupdf,2,4939,101022628,
8f2068e5fab4a043c187a28fea7ddb98,Garantia de seriedad de oferta - Anexo 1.pdf,train,easyocr,2,4002,18-44-10111042,
3a6bd2d77447a1ae12a4267fd08373dd,RCP-040-1_PLIZADESEGURODERESPONSABILIDADCIVILRIESGOCIBERNTICOv1.pdf,train,pymupdf,17,59453,,La Previsora
5a23f08979eef8d65c497d217ca16c4b,14-44-101249075 - 0 - Seguridad Exito (Garantia Seriedad).pdf,train,pymupdf,11,22778,101249075,
a573ced2386aeed12cdb6cc43cc3b024,1.POLIZA SERIEDAD DE LA OFERTA.pdf,train,easyocr,4,10403,URA 05 0101949,
a56d61bce22c077ad0955d452d1d4f16,0. POLIZA .pdf,train,easyocr,14,25283,GPL-245047878,Mundial de Seguros
3f0e14044f911857452b7cad4502604b,POLIZA SERIEDAD UNION TEMPORAL LA PREVISORA. S.A. Y SEGUROS DEL ESTADO S.A. MUNICIPIO DE TULUA 2026.pdf,train,pymupdf,17,6328,jc-100111973,Mundial de Seguros
7c97ce8611c56e693f868b43d86af77e,POLIZA 100415631_0.pdf,train,easyocr,17,29416,Nii 860037013,Mundial de Seguros
c99f898aa88ce586c78dbf3aeadef071,6.1 POLIZA DE SERIEDAD.pdf,train,easyocr,2,4994,14-44-10125205,
3916cff6a4113f884b5af529646fa74c,POLIZA DE R.C TJL 2026 -2027 (1).pdf,train,easyocr,6,27593,"riA 11 15
1002373",AXA Colpatria
8cd3f6ff56e4b7b13f40638d4a99e97b,18. POLIZA RCE OK_1 (1).pdf,train,pymupdf,72,108176,0025320,
8248929a78a66c3dc0d73f8e406e347c,11. SERIEDAD DE OFERTA_1.pdf,train,pymupdf,8,24835,,
2a29f4a1ef40c6fe633dc4f298d7b6f8,SERIEDAD LP001-2025 GP.pdf,train,pymupdf,2,6034,,
a08f76b2764fd7b010179ec0ea69fee1,01. POLIZA RCE SAM.pdf,train,pymupdf,46,51140,0028456,
76b579c99feb6d3c0f590afdacb243d7,Poliza RCE armas 2025.pdf,train,easyocr,39,94609,Hit 860037 018,Mundial de Seguros
cf16c6a0d233af63c469aff2b9e2267b,POLIZA LP-002-2026_1.pdf,train,easyocr,2,7603,320 47-99400003,
040f4d0bcd58b8e6fd29202f6ea20c65,Poliza 14-44-101233345_1.pdf,train,easyocr,2,3840,14-44-10123334,
5f9ff17f25e9f59f54ce97320ce5ccc8,POLIZA DE SERIEDAD DE OFERTA _1.pdf,val,easyocr,9,25758,4434531516,
3cf5d5cf1d2e29f2602dfff1281434f6,POLIZA CORVIVIENDA 5 MAR 2026_1.pdf,val,pymupdf,4,1493,,
853463851b1d643ec1b3f908bef7468a,SERIEDAD OFERTA.pdf,val,easyocr,4,6741,"URA
1100100968200001",La Equidad
eda78dce90bcdecf972aeffe68c95d31,ESTADO 101274155 11032026 CA0 LP-004-2026 seriedad.pdf,val,pymupdf,3,4000,101274155,
a787ee527884c6bc71ef9486a8ebdef0,POLIZA-RCE.pdf,val,pymupdf,26,100279,"17
15
2211",AXA Colpatria
3597642083c3326d288b1a77441e31e4,7. SALUD OCUPACIONAL - TORONTO.pdf,val,pymupdf,1,1720,,AXA Colpatria
4905053d7278562e44e50f80aecc73e4,POL 05-00101172-0001 EMI 20260109.pdf,val,pymupdf,7,12347,0101172,
21bd5c58586457cabb3dc35cb2b85d69,GarantÃÂ­a de seriedad_1.pdf,val,easyocr,3,6378,"NTO
82 860037",Mundial de Seguros
cad2657fda742268316e42a33bcdec27,19. POLIZA COTA_1.pdf,val,pymupdf,8,17864,101271457,
7756dc757cbd646c25593b79f79124ab,Poliza Garantia de Seriedad de la Oferta_2.pdf,val,pymupdf,16,12200,901768671,Mundial de Seguros
2edd386eece52765327518ad5beab5f6,14. UNIR POLIZA VF_1.pdf,val,pymupdf,17,26220,1522124242301,Bolivar
1070cdcfc8e4f71b93f8235a437f0663,SERIEDAD DE LA OFERTA.pdf,val,pymupdf,3,584,101062111,
fca51cf4fc7b9f584fb1de90fb368d67,POLIZA_1 (1).pdf,val,easyocr,17,29510,Nit 860037 013,Mundial de Seguros
c27a8ffce4ccb77ece23eb5463db5901,Poliza_10_CHU-100061584_0 FIRMADA.pdf,val,pymupdf,18,11795,,Mundial de Seguros
0a8647dbdb063d0b14e8419ae9d41472,GARANTIA DE SERIEDAD_1 (1).pdf,val,pymupdf,1,2031,,
2a9c9f625571f06e88bbf1437d54180c,GARANTIA DE SERIEDAD FIRMADA_1.pdf,val,pymupdf,7,26830,,
f536e76d7a23535e50ef1ad8300caba6,ANEXO 1 POLIZA SERIEDAD 42_44_101167186_0 (1).pdf,val,easyocr,3,6388,42-44-10116718,
0793143eae6a17cb5155ce47e3ff18ed,COSMOVIG.pdf,val,easyocr,6,19637,CCM-250005003,Mundial de Seguros
2eb5ced4ddaa67ae9357acc275ace872,IDESAN GARANTIA DE SERIEDAD IDESAN.pdf,val,pymupdf,39,45855,0103335,Allianz
7987a67fa705f7422325fbb0bfe21072,SU-OD-05-08 (7)_merged (2) (1)_1.pdf,val,pymupdf,6,6385,"ARI
990000039265",
b0442c9dad846f9a96675a35e0b7350b,POLIZA RCE OBLIGATORIA DTO 356 AZIMUT-VIGENTE 2025.pdf,val,pymupdf,48,55668,0024428,
fcba16b9b8abec1f0883b2b66d6fe7ac,POLIZA RCE 2025-2026 completa.pdf,val,pymupdf,30,96151,1024971,La Previsora
aecd7ac5def4ffd4714d2d4c738c7a82,KENT-POLIZA DE RESPONSABILIDAD CIVIL EXTRACONTRACTUAL.pdf,val,easyocr,4,17629,CHU-250005423,Mundial de Seguros
0f36dde2afb2c44778b20b0bc0e11300,Seriedad de Oferta.pdf,val,pymupdf,3,122,,
4b287702adfdf774de2185612bde84f3,SERIEDAD DE LA OFERTA_1.pdf,val,easyocr,2,3411,101484625,Mundial de Seguros
91825f2ca428464dc0d030ad44882117,5. POLIZA 100416879_0_1.pdf,val,pymupdf,17,14249,,Mundial de Seguros
b1b4120e8ba8843c48f28e2b0e6aeac1,19. Garantia de Seriedad_1.pdf,val,pymupdf,10,18516,101269588,
01e6fb81b4a12718c917facb30a73522,GARANTIA SERIEDAD_1.pdf,val,easyocr,18,28600,Bif 860037 013,Mundial de Seguros
e03e7d6b9e16df0c18ab62e87a3b9021,Poliza_ Seriedad Oferta proceso _FDLCB-LP-014-2025 _ CONSORCIO MUJERES PROVIDA_1.pdf,val,pymupdf,12,21470,101244427,Bolivar
b81cfe81b2a6989a3aca2f1cd354e5d1,9. GARANTIA DE LA SERIEDAD DE OFERTA_1.pdf,val,pymupdf,18,14791,860026182,Mundial de Seguros
53870369a8ff64317d479eff65a48fd8,POLIZA SERIEDAD DE OFERTA_1.pdf,val,pymupdf,11,22655,101258388,
9622e7013871e0d315e6fb90c9ca0fb3,POLIZA SERIEDAD DE LA OFERTA (1).pdf,val,pymupdf,3,5416,,Bolivar
4e10a9dfaebbbb0db7bd19bd86a3df78,7. Seriedad DLF143628A_POLIZA_61_44_101063927_20260226055451_1.pdf,val,pymupdf,2,3502,101063927,
3c59fa2119f0020294486fee55db1111,SERIEDAD GRUPO3_100019136_0 (1).pdf,val,easyocr,17,29782,Nit 860 037013,Mundial de Seguros
e72f221b391739282dba2cf94ce828b6,Garantia de seriedad_1.pdf,val,easyocr,17,28880,Nii 860037013,Mundial de Seguros
2c5efcd99cb9bf544e20a5af70430623,5. POLIZA DE SERIEDAD DE LA OFERTA LP-006-2025_1.pdf,val,pymupdf,11,20688,101243865,
377931dfb274c6e0dc5777235df51fc5,1.2.11  GARANTIA DE SERIEDAD DE LA OFERTA  POLIZA_1.pdf,val,pymupdf,4,7638,101110306,Bolivar
9983c9fe8fc4ac025503ca2a398bbc50,2.12 GARANTIA DE SERIEDA DE LA OFERTA.pdf,val,pymupdf,4,6028,101492257,
ba9123149dc03c5e76b66bc5ca5c10e2,SERIEDAD DE OFERTA SAMC 012 2025 MORALES Y MARDINI FIRMADA OK.pdf,val,pymupdf,4,15889,,
bc3bf15438f790e5ca69070b3a5cc7bc,BUHO.pdf,val,pymupdf,2,13601,"00
860404674",
