md5,filename,split,engine,n_pages,n_chars,nit,matricula,razon_social
7a093a352b3b72c0b6cebfa5e9c85197,EXISTENCIA Y RL 13112025 (1) (1) (1).pdf,train,pymupdf,8,19800,,02279691,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
822e4b6811c39ea21a18b2e129209dc0,CCB ABRIL25.pdf,train,pymupdf,12,31515,,00895099,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
09938247ae2d00b0597135064b8f505c,3.3 EXISTENCIA Y REPRESENTACION LEGAL 3-03-2026.pdf,train,pymupdf,14,33005,,02423751,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
2abe35af20ab04c53383f955860f6ceb,2. CAMARA DE COMERCIO OK_1.pdf,train,pymupdf,9,22007,,02117678,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
e9ba28813603fc601d3c09f3406d801b,CAMARA DE COMERCIO COSMOS HUILA.pdf,train,pymupdf,4,10909,800023646-9,407648,PROPIETARIO - CASA PRINCIPAL
34174a23b7977e08a78afc671a5ae9b7,1. CAMARA DE COMERCIO FEBRERO DE 2026 (2).pdf,train,pymupdf,13,34355,,01677334,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
542876038374c872138e251095a6e095,CERTIFICADO DE EXISTENCIA Y REPRESENTACION ENERO 2026.pdf,train,pymupdf,7,19441,901039927-1,182930,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
fbd3b4ce5abeb2b94cd5653b940c0e9e,CE FENIX 26ENE2026.pdf,train,pymupdf,13,34919,800234493-4,00875818,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
5fb6a162ddb40ab281f99409b3303ad1,Camara y comercio 23 de octubre de 2025.pdf,train,pymupdf,14,40512,,01399746,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
782e989187befb3c3353eabce0da78b9,CERL FUNDADEH 28-01-2026.pdf,train,pymupdf,8,26878,900437401-1,,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
63e932bf9c44ba8bfef2843d2c5ed6a7,CAMARA DE COMERCIO COSMOS FLORENCIA.pdf,train,pymupdf,4,10784,800023646-9,131521,PROPIETARIO - CASA PRINCIPAL
208636ba47798f5e8efc6fa26983f7a1,4.1.4 C.C TJL.pdf,train,pymupdf,8,21097,834000922-1,257692,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
c983f32373eb48a77bf994240a23b831,CAMARA DE COMERCIO SERVIGPODER CALI MARZO.pdf,train,pymupdf,6,14156,900369097-3,795867,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
cfa50e94db8c88aa3677777d6114133e,5. CÃÂ¡mara J&S febrero 2026.pdf,train,pymupdf,4,10507,901094396-2,30957,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
3cf3097a2b20a3e72836a81343aaa451,EXISTENCIA PROINCO 24-02-2026.pdf,train,pymupdf,8,29475,900375623-2,210524,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
d759f24137b5806e70c660e913940cf6,1.2 CAMARA COMERCIO FUNDANUSAVI_1.pdf,train,pymupdf,7,14736,900647558-1,,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
2de1151ee99b5b9ea1b2b2fe5d81c360,13. CAMARA DE COMERCIO EXISTENCIA Y REP LEGAL 28 ENERO.pdf,train,pymupdf,8,24654,900011258-5,134773,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
22282a7b31bf23fbcf9306ba147c2f78,CAMARA DE COMERCIO CASA DEL MULTIMUEBLE.pdf,train,easyocr,7,16296,901085828-4,377017,LA CASA DEL MULTIMUEBLE S.A.S
79a066240e0f054a72c577f6ee546f6d,CERTIFICADO DE EXISTENCIA FHV 24-12-2025.pdf,train,pymupdf,6,20289,900024923-1,204777,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
d996570cbb129ebe98fba36eb7e80ba1,CERTIFICADO MYM SAS 24 NOV 2025.pdf,train,pymupdf,8,27163,804003915-4,60256,"CARGO                    NOMBRE                            IDENTIFICACIÓN
 
REVISOR FISCAL PRINCIPAL ARCHILA SILVA JIMMY               C.C 91204689"
319d996974cf4507c6e8942559914ad4,CAMARA DE COMERCIO ABRIL   2025.pdf,train,easyocr,18,45716,,00007164,REFORMAS   ESPECIALES
d1ee5416a5449608bc7dbc910e7ad5fb,CERTIFICADO DE EXISTENCIA Y REPRESENTACION LEGAL (1)_1.pdf,train,pymupdf,15,35468,,00500022,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
f289add9a70a9ab7b686311b22e3d50b,EXISTENCIA Y REPRESENTACION LEGAL.pdf,train,pymupdf,17,41735,901453389-1,,CERTIFICADO DE EXISTENCIA Y REPRESENTACION LEGAL O
1e418f2377bf9fe5a163e780cf34e7f0,Certificado camara de comercio.pdf,train,pymupdf,7,22361,901015334-9,483795,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
aa99143b682c11f0f2f862fb7419d509,CAMARA COMERCIO. - COLSERVICO (MARZO)_1.pdf,train,pymupdf,10,35353,900782536-5,336812,"COLSERVICO &       SUMINISTROS S.A.S.
 
 
                           REFORMAS ESPECIALES"
70f1a975130f41b1c648bcded1d4c9dc,4. CAMARA DE COMERCIO AGENCIA CABECERA 05 MARZO.pdf,train,pymupdf,8,29747,860524654-6,39827,CERTIFICADO DE AGENCIA DE INSTITUCION FINANCIERA DE:
7a2c6ff0134d97f341fe48f4faf0f96c,2. REP LEGAL.pdf,train,pymupdf,7,16415,,03301889,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
032694cc88aca1976d8d89df59ac9e6e,3.CERTIFICACION CAMARA CIO - SONAR EVENTOS - 6 FEB.pdf,train,pymupdf,9,30257,901292095-1,434608,"SONAR EVENTOS & PRODUCCIONES S.A.S.
 
 
                           REFORMAS ESPECIALES"
3920d7c47fd1eae11b25a8ad6861a04e,Camara de comercio Centro Oriente 14 enero.pdf,train,pymupdf,8,18219,,03899271,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
a341d00293df64f0c3c46aeb811becb5,11. C.COMERCIODICIEMBRE2025.pdf,train,pymupdf,8,18485,,01640817,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
fd0e2e86544c6b281cbc8764ba98631c,BOGOTA 05-11-2025_1.pdf,train,pymupdf,8,19323,,00892925,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
a0ba40bc4ee9655ce55bb333d9f8981d,4.1 CAMARA Y COMERCIO  (1)_1.pdf,train,pymupdf,9,23409,805031667-5,642985,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
2c7d64af557e82dcb9f855af080b18df,ERL_JHD.pdf,train,pymupdf,7,14977,,01094212,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
92b4518dc2e99517e3fd68d36c2ddb59,114CertCamaraComercioCorsocial.pdf,train,pymupdf,8,35818,822005791-2,,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
19bb09281aa41fa0a120d6c06366baa4,02. Camara de comercio.pdf,val,pymupdf,7,19255,900519994-1,131671,
bb28bc3133c032b3969fe37e87fe9c94,CAMARA DE COMERCIO CARIMAR NOV.pdf,val,pymupdf,7,19094,900245560-1,87488,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
b3152a54d99abaa701b7cdd31c1b26ec,C.C FUNCITEG NOV-2025.pdf,val,pymupdf,14,37704,,02724813,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
26d0f192c056f87c22a4b39806348c48,Certificado CÃÂ¡mara de Comercio Ibague.pdf,val,easyocr,5,14611,860524654-6,66782,PROPIETARIO CASA PRINCIPAL
0802076282718f045e45b960f960ccb9,Camara de Comercio Savikas Seguridad 30-10-2025.pdf,val,pymupdf,7,22188,901067485-5,,"CARGO                    NOMBRE                            IDENTIFICACIÓN
 
REVISOR FISCAL PRINCIPAL BAKER TILLY COLOMBIA LTDA         NIT 800249449-5"
98a05cf6d0d24a32daa5d16db30149e3,Edetel.pdf,val,pymupdf,6,18762,901281976-6,171749,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
de571f643401493c34cfe7d33537868a,3. CAMARA DE COMERCIO_1.pdf,val,pymupdf,8,18986,,00250269,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
05db34ac1e8c19d7f234f03676ebf7a3,5.1. Existencia - ESTRUCAD.pdf,val,pymupdf,6,20945,900994892-2,41994,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
1fad795bd9b2c1b3b279ad1ffe37afb8,CCO - MUNDIAL NOV 2025 BOGOTA.pdf,val,pymupdf,78,249661,891000093-8,00033339,REFORMAS ESPECIALES
8196c6df03165604cb5925320c0831f6,5.1 CÃÂ¡mara de comercio Allianz Seguros S.A. 04 de marzo 2026.pdf,val,pymupdf,10,37373,860026182-5,,"COLSEGUROS S.A"", Y ESTABLECIO SU DOMICILIO PRINCIPAL EN LA CIUDAD DE BOGOTA.-"
04f664c06cdd2435304cbfc7fa9da0f4,3. Certificado de existencia Geoingenieria.pdf,val,pymupdf,7,26545,900019772-6,88867,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
24c6d64d233bf8522844d8b3b2a2d888,1. CERL LGMC.pdf,val,pymupdf,4,6208,,01993543,DIRECCION DE NOTIFICACION JUDICIAL : CALLE 9D 69D 80
76b334941d7288b2e728d1e81ec44c58,CAMARA DE COMERCIO MARZO.pdf,val,pymupdf,12,30905,,02790955,COMPAÑIA DE SEGUROS DE VIDA S.A. NIT 901.061.386-7.
b06aaff62b321a99c50307dba7fcaec8,CCB_MG_05_03_2026.pdf,val,pymupdf,62,191315,901054934-4,00018388,REFORMAS ESPECIALES
e915358aa7858885aa1367d3dc27610b,CAMARA DE COMERCIO 5 DE ABRIL 2025.pdf,val,pymupdf,11,28354,,01454881,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
af92e4c7c4db9eb2f9fe49e5b0ea369b,C. EXISTENCIA Y REPRESENTACION LEGAL ECO-DIC_1.pdf,val,easyocr,6,11991,900733260-9,,CERTIFICADO DE EXISTENCIA Y REPRESENIACIÓN LEGAL
072a389a9ccad45b6ff16d295db726ae,EXISTENCIA GRUPO MORE SAS.pdf,val,pymupdf,5,14362,829001262-5,69314,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
4d4da07354ee2744f35a1cd6b20730c2,EXISTENCIA BC 04-03-2026 (1).pdf,val,pymupdf,17,65106,900542455-8,116780,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
7b02ea0d7d072f3db17ba88d4714d784,EXISTENCIA ADR 09-02-2026.pdf,val,pymupdf,6,24214,901457058-7,124837,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
b0e20a758cb6df8c0d8db3f38a254dc1,1.2. CERTIFICADO DE EXISTENCIA Y REPRESENTACION LEGAL..pdf,val,pymupdf,6,16244,832009861-4,133825,"CERTIFICADO DE 
EXISTENCIA Y"
0142eca93a9eb830a04dbf6691ccb088,EXISTENCIA DINAMICK 09.02.2026_unlocked.pdf,val,pymupdf,15,82986,901851289-0,140988,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
e3dcc0c4e3240fc177327bd7a39aba44,2 CERTIFICADO EXISTE Y REPRE CAMARA DE COMERCIO MARZO.pdf,val,pymupdf,9,20959,,00008191,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
e842b090b8ee96705ebdab918ba32193,Certificado de Existencia y RepresentaciÃÂ³n Legal ASOCAMFUT_1.pdf,val,pymupdf,6,15322,901925966-8,,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
55a133f5b76d95359f8b4e712513a74d,1.1.1.2.A. CERTIFICADO EXISTENCIA Y REPRESENTACION LEGAL.pdf,val,pymupdf,9,23296,,,CERTIFICADO DE EXISTENCIA Y REPRESENTACION LEGAL O
82ce480126c4d7418899cd12d1ad196d,2. EXISTENCIA AXECOL 28-01-2026.pdf,val,pymupdf,9,23487,,03746773,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
4e3d1a97a89da37e9b7ef10b3defac5f,CERL LEXCO SA.pdf,val,easyocr,10,19649,,,CERTIFICADO DE EXISTENCIA
37c037111715b7f7a9d868ecfba355f1,Camara Comercio 16 Marzo 2026 Suc Bucaramanga.pdf,val,pymupdf,9,31010,860037707-9,127105,"VI, CONSTA MODIFICACION DE LA RAZON SOCIAL A: ""CHARTIS SEGUROS COLOMBIA S.A."
99ba9e2271c2587824683c1861bd7b43,MEGA.pdf,val,pymupdf,6,16903,,,CERTIFICADO DE EXISTENCIA Y REPRESENTACION LEGAL O
1fcb06d17aa3d5966818839f6d10d3ab,1.7 - CERL.pdf,val,pymupdf,9,35876,901018882-7,29823,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
30d5027439bcd768d93f3c459c77776e,1.1.1.1.D. EXISTENCIA Y REPRESENTACION.pdf,val,pymupdf,8,18632,,01818321,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
8d43ecb0bc9359fea67964bf1eb3b252,1.CERL PENTAGONO.pdf,val,pymupdf,8,19286,900653740-9,,OBJETO  SOCIAL:  La  sociedad tendrá como objeto principal suministro de
c32d415eefb184b759b222db7b9679d6,CAMARA DE COMERCIO ORTIZ 19022026.pdf,val,pymupdf,7,28953,901772377-1,43889,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
c35da46d037f970cee54416aabbb0d40,CERT MATRICULA 01-25 - Exp 16-01-26 - Sin clave (1).pdf,val,pymupdf,10,24601,860002400-2,00015365,DIRECCION DE NOTIFICACION JUDICIAL : CALLE 57 NO. 9-07
1dc8784b27159952ec26671ef56cc0b7,CCB ANDIREC LTDA MARZO 19 DE 2025.pdf,val,pymupdf,8,19895,,01877555,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
1c1631a900851e74cc494c8057abf82c,CAM DE CIO.pdf,val,pymupdf,10,30268,900219437-1,78429,CERTIFICADO DE EXISTENCIA Y REPRESENTACION LEGAL
e61dc010bcebf61fd5116c2e4f56cbb6,3. CAM COMERCIO 13NOV.pdf,val,pymupdf,5,12041,901433321-6,348194,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
b1a41523a4920e92a2a379619402238e,CERT CAMARA LIRA OCT 28.pdf,val,pymupdf,10,26305,,01005277,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
6793d9a81f9441cb24f4d5b06ce69745,CCCJALCONS26_02_2026.pdf,val,pymupdf,5,14586,800180302-2,71114,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
7fda8de1c40bbcfedbce7230af7ef029,CCB-INGESOS 25-11-2025.pdf,val,pymupdf,6,12564,,03204056,CERTIFICADO DE EXISTENCIA Y REPRESENTACIÓN LEGAL
6490675893fafaa578734d05ff3c3258,Certificado SFC MG 09_01_2026.pdf,val,pymupdf,7,16245,891700037-9,,"CERTIFICA 
RAZÓN SOCIAL: MAPFRE SEGUROS GENERALES DE COLOMBIA S.A."
